"","Date_reported","Country_code","Country","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","stay_home_requirements","New_infectious","lag_infectious","stay_home_diff_07","stay_home_diff_05","stay_home_diff_03","lag_stay_home","lag_stay_home_diff_07","lag_stay_home_diff_05","lag_stay_home_diff_03","lag_stay_home_diff_01","New_infec_07ma","lag_infec_07ma","New_infec_05ma","lag_infec_05ma","New_infec_03ma","lag_infec_03ma","delta_infectious","delta_infec_07ma","delta_infec_05ma","delta_infec_03ma"
"1",2020-10-01,"FR","France","Europe",11889,538294,56,31746,"0",-845,80158,"0","0","0","0","0","0","0","0",-823.142857142857,79254.4285714286,-1668.2,79075,-1365.33333333333,79736.6666666667,-1.05416801816413,-1.03860802731168,-2.10964274423016,-1.71230299736633
"2",2020-10-02,"FR","France","Europe",13959,552253,62,31808,"0",-2109,78049,"0","0","0","0","0","0","0","0",-556.285714285714,78698.1428571429,-1020,78055,-2327.66666666667,77409,-2.70214865020692,-0.706860027555561,-1.30677086669656,-3.00697162689954
"3",2020-10-03,"FR","France","Europe",11543,563796,118,31926,"0",-4029,74020,"0","0","0","0","0","0","0","0",-386.571428571429,78311.5714285714,-507.2,77547.8,-1037.66666666667,76371.3333333333,-5.4431234801405,-0.493632577561061,-0.654048212844207,-1.35871225678047
"4",2020-10-04,"FR","France","Europe",16911,580707,43,31969,"0",3025,77045,"0","0","0","0","0","0","0","0",161.857142857143,78473.4285714286,-143.8,77404,139.333333333333,76510.6666666667,3.92627685119086,0.20625725905402,-0.18577851273836,0.182109684052768
"5",2020-10-05,"FR","France","Europe",12545,593252,32,32001,"0",1422,78467,"0","0","0","0","0","0","0","0",1145.85714285714,79619.2857142857,817.4,78221.4,1806.33333333333,78317,1.81222679597793,1.43917033740928,1.04498257510093,2.30643836374393
"6",2020-10-06,"FR","France","Europe",4813,598065,68,32069,"0",972,79439,"0","0","0","0","0","0","0","0",2039.28571428571,81658.5714285714,2831.8,81053.2,1697,80014,1.22358035725525,2.49733209705918,3.49375471912275,2.12087884620191
"7",2020-10-07,"FR","France","Europe",10476,608541,65,32134,"0",2697,82136,"0","0","0","0","0","0","0","0",3840.14285714286,85498.7142857143,3055.8,84109,3237.33333333333,83251.3333333333,3.28357845524496,4.49146269534546,3.63314270767694,3.88862640838585
"8",2020-10-08,"FR","France","Europe",17932,626473,77,32211,"0",6043,88179,"0","0","0","0","0","0","0","0",4802.85714285714,90301.5714285714,4486.8,88595.8,4295,87546.3333333333,6.85310561471552,5.31868611683707,5.0643484228372,4.905973598742
"9",2020-10-09,"FR","France","Europe",18104,644577,76,32287,"0",4145,92324,"0","0","0","0","0","0","0","0",5107.71428571429,95409.2857142857,6245.2,94841,6255,93801.3333333333,4.48962349984836,5.35347712486805,6.58491580645501,6.66834870861821
"10",2020-10-10,"FR","France","Europe",20120,664697,90,32377,"0",8577,100901,"0","0","0","0","0","0","0","0",5466.28571428571,100875.571428571,6417,101258,7495.33333333333,101296.666666667,8.50041129423891,5.41883990035815,6.33727705465247,7.39938793642436
"11",2020-10-11,"FR","France","Europe",26675,691372,54,32431,"0",9764,110665,"0","0","0","0","0","0","0","0",5438.85714285714,106314.428571429,5904.8,107162.8,7299,108595.666666667,8.8230244431392,5.11582220394759,5.51012104946866,6.72126266548389
"12",2020-10-12,"FR","France","Europe",16101,707473,46,32477,"0",3556,114221,"0","0","0","0","0","0","0","0",5113.28571428571,111427.714285714,5576.8,112739.6,5600.66666666667,114196.333333333,3.11326288510869,4.58888145293425,4.94662035345167,4.90441899769111
"13",2020-10-13,"FR","France","Europe",8295,715768,94,32571,"0",3482,117703,"0","0","0","0","0","0","0","0",6299.57142857143,117727.285714286,4614.2,117353.8,3181,117377.333333333,2.95829333152086,5.35098672355359,3.93187097477883,2.71006327172765
"14",2020-10-14,"FR","France","Europe",12981,728749,108,32679,"0",2505,120208,"0","0","0","0","0","0","0","0",5732,123459.285714286,5151.2,122505,3250.33333333333,120627.666666667,2.08388792759217,4.64282614858571,4.20488959634301,2.69451728873697
"15",2020-10-15,"FR","France","Europe",21696,750445,101,32780,"0",3764,123972,"0","0","0","0","0","0","0","0",5158.85714285714,128618.142857143,5360.8,127865.8,6239.33333333333,126867,3.03616945761946,4.0109871191245,4.19252059581217,4.9180112506273
"16",2020-10-16,"FR","France","Europe",30553,780998,88,32868,"0",12449,136421,"0","0","0","0","0","0","0","0",6612.57142857143,135230.714285714,5814.8,133680.6,6939,133806,9.12542790332867,4.88984434009603,4.34977102137483,5.18586610465898
"17",2020-10-17,"FR","France","Europe",24724,805722,162,33030,"2",4604,141025,"2","2","2","0","0","0","0","0",6779.28571428571,142010,8060.2,141740.8,7601.66666666667,141407.666666667,3.26466938486084,4.77380868550505,5.68657718878403,5.3757104164555
"18",2020-10-18,"FR","France","Europe",32427,838149,89,33119,"2",5752,146777,"2","2","2","0","0","0","0","0",7484.71428571429,149494.714285714,8237.2,149978,8029.33333333333,149437,3.91887012270315,5.00667486571432,5.49227219992266,5.37305575816788
"19",2020-10-19,"FR","France","Europe",29833,867982,85,33204,"2",13732,160509,"2","2","2","0","0","0","0","0",7536.14285714286,157030.857142857,7236,157214,8044.33333333333,157481.333333333,8.55528350435178,4.79914775621898,4.60264353047438,5.10811863416617
"20",2020-10-20,"FR","France","Europe",12944,880926,146,33350,"2",4649,165158,"2","2","0","0","0","0","0","0",7330.57142857143,164361.428571429,7140,164354,8608,166089.333333333,2.81488029644341,4.46003146376018,4.34428124657751,5.18275305658802
"21",2020-10-21,"FR","France","Europe",20424,901350,261,33611,"2",7443,172601,"2","2","0","0","0","0","0","0",9115.85714285714,173477.285714286,8191.6,172545.6,5405.33333333333,171494.666666667,4.31225775053447,5.25478428217445,4.74749863224562,3.15189588014399
"22",2020-10-22,"FR","France","Europe",25820,927170,155,33766,"2",4124,176725,"2","0","0","0","0","0","0","0",10145.7142857143,183623,8865.4,181411,7525.66666666667,179020.333333333,2.33356910454095,5.52529600633596,4.88691424445045,4.2038055267465
"23",2020-10-23,"FR","France","Europe",41563,968733,162,33928,"2",11010,187735,"2","0","0","0","0","0","0","0",11329.1428571429,194952.142857143,10527.8,191938.8,10745,189765.333333333,5.86464963911897,5.8112430523242,5.48497750324583,5.66225654141255
"24",2020-10-24,"FR","France","Europe",41825,1010558,297,34225,"2",17101,204836,"0","0","0","0","0","0","0","0",12602.2857142857,207554.428571429,13442.4,205381.2,13690.6666666667,203456,8.34863012361108,6.07179803438822,6.54509760387027,6.72905525846702
"25",2020-10-25,"FR","France","Europe",45388,1055946,137,34362,"2",12961,217797,"0","0","0","0","0","0","0","0",13393.4285714286,220947.857142857,15329.8,220711,17359.3333333333,220815.333333333,5.95095432903116,6.0618051447174,6.94564385100879,7.86147097272834
"26",2020-10-26,"FR","France","Europe",51849,1107795,105,34467,"2",22016,239813,"0","0","0","0","0","0","0","0",14168.1428571429,235116,15724,236435,16179.3333333333,236994.666666667,9.1804864623686,6.02602241325255,6.65045361304375,6.82687655418406
"27",2020-10-27,"FR","France","Europe",26505,1134300,255,34722,"2",13561,253374,"0","0","0","0","0","0","0","0",13460,248576,14213.2,250648.2,16186,253180.666666667,5.35216715211506,5.4148429454171,5.67057732710628,6.39306318807913
"28",2020-10-28,"FR","France","Europe",33405,1167705,522,35244,"2",12981,266355,"0","0","0","0","0","0","0","0",11984,260560,12831.6,263479.8,12029.6666666667,265210.333333333,4.87357098608999,4.59932453177771,4.87005075910943,4.53589666566536
"29",2020-10-29,"FR","France","Europe",35367,1203072,240,35484,"2",9547,275902,"0","0","0","0","0","0","0","0",8295.57142857143,268855.571428571,9782.2,273262,9527,274737.333333333,3.46028662351125,3.08551218949739,3.57978789586551,3.46767579215056
"30",2020-10-30,"FR","France","Europe",47616,1250688,235,35719,"2",6053,281955,"0","0","0","0","0","0","0","0",4784.85714285714,273640.428571429,4498.4,277760.4,7456.33333333333,282193.666666667,2.14679647461474,1.7485929136411,1.61952531750386,2.64227522233549
"31",2020-10-31,"FR","France","Europe",48594,1299282,544,36263,"2",6769,288724,"0","0","0","2","2","2","2","2",6512,280152.428571429,1390.4,279150.8,-12,282181.666666667,2.34445352655131,2.32444888420436,0.498082040244914,-0.00425257960297444
"32",2020-11-01,"FR","France","Europe",32530,1331812,223,36486,"2",-12858,275866,"0","0","0","2","2","2","2","0",5064.57142857143,285217,4611.2,283762,-2882.66666666667,279299,-4.66095858134022,1.77569058947097,1.62502378754026,-1.03210776503556
"33",2020-11-02,"FR","France","Europe",49290,1381102,231,36717,"2",-2559,273307,"0","0","0","2","2","2","2","0",4335,289552,3970.4,287732.4,3411.33333333333,282710.333333333,-0.936309717643529,1.49714041001271,1.37989326193366,1.20665321748645
"34",2020-11-03,"FR","France","Europe",52156,1433258,411,37128,"2",25651,298958,"0","0","0","2","2","2","0","0",4956,294508,3504.6,291237,8647,291357.333333333,8.58013500224112,1.68280657910821,1.20334984909198,2.96783331350278
"35",2020-11-04,"FR","France","Europe",36254,1469512,854,37982,"2",2849,301807,"0","0","0","2","2","2","0","0",5651.57142857143,300159.571428571,8156.2,299393.2,10980,302337.333333333,0.943980755913547,1.88285564297467,2.72424356999424,3.63170498295502
"36",2020-11-05,"FR","France","Europe",39807,1509319,373,38355,"2",4440,306247,"0","0","0","2","2","0","0","0",15240.4285714286,315400,10995.6,310388.8,5896.33333333333,308233.666666667,1.44981012058894,4.83209529848718,3.54252473027377,1.91294267011715
"37",2020-11-06,"FR","France","Europe",58016,1567335,363,38718,"2",10400,316647,"0","0","0","2","2","0","0","0",14081.5714285714,329481.571428571,16718.2,327107,8826,317059.666666667,3.28441450574299,4.27385706809529,5.11092700553642,2.78370317258897
"38",2020-11-07,"FR","France","Europe",60232,1627567,827,39545,"2",11638,328285,"0","0","0","2","0","0","0","0",5762.14285714286,335243.714285714,14014.2,341121.2,25434,342493.666666667,3.54509039401739,1.71879221342597,4.10827588552104,7.42612272149071
"39",2020-11-08,"FR","France","Europe",86794,1714361,304,39849,"2",54264,382549,"0","0","0","2","0","0","0","0",3342.57142857143,338586.285714286,6609.2,347730.4,18410.3333333333,360904,14.1848495225448,0.98721406318035,1.90066787373206,5.10117187211373
"40",2020-11-09,"FR","France","Europe",38619,1752980,270,40119,"2",-10671,371878,"0","0","0","2","0","0","0","0",2017.42857142857,340603.714285714,1711.6,349442,3669.33333333333,364573.333333333,-2.86948945621951,0.592309621654994,0.489809467665593,1.00647332041107
